,title,price,stars,reviews
0,"Realme C11 (Rich Green, 32 GB)","₹7,499",4.4,"87,072 Ratings & 6,163 Reviews"
1,"Realme C11 (Rich Grey, 32 GB)","₹7,499",4.4,"87,072 Ratings & 6,163 Reviews"
2,"Realme C12 (Power Silver, 32 GB)","₹8,999",4.6,"3,789 Ratings & 211 Reviews"
3,"Realme C12 (Power Blue, 32 GB)","₹8,999",4.6,"3,789 Ratings & 211 Reviews"
4,"Redmi 8 (Ruby Red, 64 GB)","₹9,999",4.4,"7,79,711 Ratings & 57,376 Reviews"
5,"Realme 6 (Comet Blue, 64 GB)","₹14,999",4.4,"50,085 Ratings & 5,080 Reviews"
6,"Redmi 8 (Onyx Black, 64 GB)","₹9,999",4.4,"7,79,711 Ratings & 57,376 Reviews"
7,"Tecno Spark Power 2 (Misty Grey, 64 GB)","₹9,999",4.3,"26,526 Ratings & 3,268 Reviews"
8,"Tecno Spark Power 2 (Ice Jadeite, 64 GB)","₹9,999",4.3,"26,526 Ratings & 3,268 Reviews"
9,"Infinix Hot 9 Pro (Violet, 64 GB)","₹10,499",4.5,"27,878 Ratings & 2,176 Reviews"
10,"Infinix Hot 9 Pro (Ocean Wave, 64 GB)","₹10,499",4.5,"27,878 Ratings & 2,176 Reviews"
11,"Realme C3 (Volcano Grey, 64 GB)","₹9,999",4.5,"1,33,101 Ratings & 9,280 Reviews"
12,"Realme C3 (Volcano Grey, 32 GB)","₹8,999",4.4,"80,341 Ratings & 6,113 Reviews"
13,"Redmi 8 (Emerald Green, 64 GB)","₹9,999",4.4,"7,79,711 Ratings & 57,376 Reviews"
14,"Realme C3 (Frozen Blue, 64 GB)","₹9,999",4.5,"1,33,101 Ratings & 9,280 Reviews"
15,"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹7,999",4.4,"27,379 Ratings & 2,468 Reviews"
16,"POCO M2 Pro (Out of the Blue, 128 GB)","₹16,999",4.5,"25,062 Ratings & 2,959 Reviews"
17,"Infinix Smart 4 Plus (Violet, 32 GB)","₹7,999",4.4,"27,379 Ratings & 2,468 Reviews"
18,"Realme 6 (Comet White, 64 GB)","₹14,999",4.4,"50,085 Ratings & 5,080 Reviews"
